episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
1.8652000427246094,-2.0,-0.42859998941421507,374.0,0,8,22176,22176,False,10,21,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-47,1776297827,1.196425199508667,29.541877508163452,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,29.541877508163452,0,21,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808]",0.3663142874107651,2.738518720029359,0.09227811670734665,17.404718038478034,0.0,9.494,3370.67,2.366,22176,22176,7072,7072,21792,37,41.0,5.6,0.0,0.014857198,0.0005,5.183636665344238,3.758910655975342,5.443647861480713,-0.01226227730512619
1.8652000427246094,-2.0,-0.20787691554197898,457.61538461538464,3,8,23232,23232,False,13,22,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-48,1776297828,1.190126657485962,30.732004165649414,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,30.732004165649414,0,22,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404]",0.36432286430710276,2.555304227868897,0.09177365668390047,17.380878880191666,0.0,9.271,3451.8,2.075,23232,23232,7424,7424,22944,39,39.3,5.6,0.0,0.025363684,0.0005,5.172822952270508,4.47737455368042,5.465459823608398,-0.02709387242794037
1.8652000427246094,-2.0,-0.09651428221591882,748.1785714285714,15,8,24288,24288,False,28,23,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-49,1776297829,1.4165287017822266,32.14853286743164,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,32.14853286743164,0,23,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.36080163883587835,2.224448720568788,0.0910296205875196,17.32635061050226,0.0,9.569,3343.998,2.242,24288,24288,7776,7776,24096,41,36.650000000000006,5.6,0.0,0.05195424,0.0005,5.248391628265381,4.862457275390625,5.487444877624512,-0.050209298729896545
1.8652000427246094,-2.0,-0.15674666340152424,732.5666666666667,2,8,25344,25344,False,30,24,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-51,1776297831,1.1700584888458252,33.318591356277466,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,33.318591356277466,0,24,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000]",0.3608110142705881,2.2014390047928094,0.0911048102112306,17.32081641789879,0.0,9.432,3392.824,1.992,25344,25344,8128,8128,25248,43,37.3,5.6,0.0,0.0138894925,0.0005,5.369781494140625,4.787567138671875,5.713628768920898,0.006273373961448669
1.8652000427246094,-2.0,-0.15674666340152424,732.5666666666667,0,8,26400,26400,False,30,25,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-52,1776297832,1.184236764907837,34.5028281211853,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,34.5028281211853,0,25,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000]",0.3608110142705881,2.2014390047928094,0.0911048102112306,17.32081641789879,0.0,8.944,3577.689,1.995,26400,26400,8480,8480,26400,45,39.8,5.6,0.0,0.024564596,0.0005,5.338856220245361,4.334566593170166,5.640737533569336,0.020437389612197876
1.8652000427246094,-2.0,-0.15674666340152424,732.5666666666667,0,8,27456,27456,False,30,26,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-53,1776297833,1.1993412971496582,35.70216941833496,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,35.70216941833496,0,26,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000]",0.3608110142705881,2.2014390047928094,0.0911048102112306,17.32081641789879,0.0,9.462,3381.847,2.126,27456,27456,8832,8832,26976,46,41.7,5.6,0.0,0.047133606,0.0005,5.385405540466309,5.057338237762451,5.629105567932129,0.054838716983795166
1.8652000427246094,-2.0,-0.15674666340152424,732.5666666666667,0,8,28512,28512,False,30,27,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-54,1776297834,1.1886236667633057,36.89079308509827,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,36.89079308509827,0,27,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000]",0.3608110142705881,2.2014390047928094,0.0911048102112306,17.32081641789879,0.0,9.142,3500.221,1.985,28512,28512,9184,9184,28128,48,38.7,5.6,0.0,0.026932796,0.0005,5.324383735656738,4.623865127563477,5.643120765686035,0.029701784253120422
1.8652000427246094,-2.0,-0.10109677021541903,715.9032258064516,1,8,29568,29568,False,31,28,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-55,1776297835,1.1980400085449219,38.08883309364319,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,38.08883309364319,0,28,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 1.5684000253677368]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000, 216]",0.36058489691169066,2.1928116806823397,0.09105667161591423,17.31896678612232,0.0,9.177,3486.908,2.056,29568,29568,9536,9536,29280,50,40.3,5.6,0.0,0.030450338,0.0005,5.461513042449951,4.604865550994873,5.748478412628174,0.02332986891269684
1.8652000427246094,-2.0,-0.05132499500177801,701.46875,1,8,30624,30624,False,32,29,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-57,1776297837,1.188187837600708,39.2770209312439,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,39.2770209312439,0,29,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 1.5684000253677368, 1.4916000366210938]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000, 216, 254]",0.36047566325200686,2.1834106984615946,0.09103861387502646,17.318990789602218,0.0,9.153,3496.164,2.054,30624,30624,9888,9888,30432,52,41.0,5.6,0.0,0.05946983,0.0005,5.30380392074585,4.882425785064697,5.568333148956299,-0.05007098615169525
1.8652000427246094,-2.0,-0.05132499500177801,701.46875,0,8,31680,31680,False,32,30,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-58,1776297838,1.2007372379302979,40.477758169174194,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,40.477758169174194,0,30,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601, 0.11240000277757645, 0.27799999713897705, 1.1931999921798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 1.5684000253677368, 1.4916000366210938]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808, 944, 861, 404, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 28, 1000, 216, 254]",0.36047566325200686,2.1834106984615946,0.09103861387502646,17.318990789602218,0.0,9.178,3486.664,2.066,31680,31680,10240,10240,31584,54,38.900000000000006,5.6,0.0,0.017091373,0.0005,5.435693740844727,4.75883150100708,5.70452356338501,-0.01376311480998993
